iter	Passed	Remaining
245	12745	18340
246	12785	18272
247	12827	18206
248	12864	18134
249	12901	18062
250	12940	17993
251	12979	17924
252	13018	17855
253	13057	17786
254	13093	17714
255	13133	17647
256	13172	17579
257	13210	17511
258	13251	17446
259	13290	17379
260	13330	17314
261	13367	17245
262	13410	17183
263	13452	17121
264	13495	17059
265	13531	16991
266	13567	16921
267	13605	16854
268	13653	16800
269	13724	16774
270	13781	16730
271	13849	16700
272	13918	16672
273	13982	16636
274	14074	16633
275	14146	16606
276	14261	16629
277	14347	16618
278	14422	16593
279	14513	16586
280	14590	16564
281	14645	16515
282	14701	16467
283	14749	16411
284	14794	16351
285	14841	16294
286	14885	16233
287	14930	16174
288	14970	16109
289	15012	16047
290	15050	15981
291	15090	15917
292	15131	15854
293	15173	15792
294	15214	15729
295	15253	15666
296	15291	15600
297	15328	15533
298	15369	15472
299	15414	15414
300	15455	15353
301	15498	15293
302	15535	15228
303	15572	15162
304	15610	15098
305	15646	15033
306	15684	14969
307	15722	14905
308	15758	14840
309	15792	14773
310	15826	14707
311	15878	14657
312	15929	14606
313	15968	14544
314	16006	14482
315	16044	14420
316	16083	14358
317	16120	14295
318	16159	14234
319	16193	14169
320	16228	14104
321	16265	14043
322	16305	13983
323	16345	13923
324	16382	13862
325	16420	13801
326	16459	13741
327	16503	13685
328	16537	13622
329	16575	13561
330	16612	13500
331	16651	13441
332	16687	13379
333	16722	13318
334	16759	13257
335	16796	13197
336	16835	13138
337	16878	13083
338	16918	13025
339	16954	12965
340	16991	12905
341	17024	12843
342	17061	12783
343	17099	12724
344	17137	12666
345	17172	12606
346	17208	12547
347	17247	12489
348	17286	12432
349	17330	12379
350	17381	12330
351	17430	12280
352	17476	12228
353	17521	12175
354	17576	12130
355	17619	12076
356	17686	12038
357	17735	11988
358	17781	11937
359	17827	11885
360	17868	11829
361	17913	11777
362	17955	11723
363	18003	11672
364	18075	11637
365	18138	11596
366	18202	11556
367	18255	11508
368	18296	11453
369	18347	11405
370	18393	11353
371	18428	11294
372	18463	11236
373	18498	11178
374	18536	11121
375	18575	11066
376	18614	11010
377	18655	10956
378	18699	10903
379	18768	10866
380	18830	10823
381	19165	10937
382	19304	10937
383	19419	10923
384	19572	10929
385	19677	10909
386	19754	10872
387	19830	10835
388	19870	10777
389	19915	10723
390	19958	10668
391	20009	10617
392	20056	10563
393	20108	10513
394	20159	10462
395	20197	10404
396	20235	10347
397	20275	10290
398	20315	10234
399	20376	10188
400	20425	10136
401	20466	10080
402	20511	10026
403	20553	9971
404	20600	9918
405	20649	9866
406	20694	9813
407	20738	9759
408	20782	9705
409	20820	9648
410	20866	9595
411	20913	9542
412	20956	9488
413	21002	9436
414	21044	9381
415	21090	9328
416	21128	9272
417	21167	9216
418	21209	9162
419	21249	9106
420	21286	9050
421	21325	8995
422	21365	8940
423	21400	8883
424	21438	8827
425	21478	8772
426	21517	8717
427	21555	8662
428	21591	8606
429	21630	8551
430	21664	8494
431	21699	8438
432	21735	8383
433	21770	8326
434	21808	8272
435	21847	8217
436	21883	8162
437	21925	8109
438	21969	8057
439	22005	8002
440	22045	7948
441	22081	7893
442	22122	7840
443	22158	7785
444	22195	7731
445	22229	7675
446	22266	7621
447	22304	7567
448	22348	7515
449	22390	7463
450	22429	7410
451	22467	7356
452	22504	7302
453	22541	7249
454	22577	7195
455	22613	7141
456	22650	7087
457	22685	7033
458	22718	6978
459	22751	6924
460	22790	6871
461	22830	6819
462	22869	6766
463	22909	6714
464	22949	6662
465	22988	6610
466	23025	6557
467	23061	6504
468	23096	6451
469	23133	6398
470	23167	6345
471	23207	6293
472	23244	6241
473	23281	6188
474	23321	6137
475	23355	6084
476	23391	6031
477	23427	5979
478	23463	5927
479	23501	5875
480	23535	5822
481	23571	5770
482	23606	5718
483	23641	5666
484	23676	5614
485	23712	5562
486	23751	5511
487	23789	5459
488	23824	5408
489	23860	5356
490	23896	5304
491	23932	5253
492	23967	5201
493	24002	5150
494	24039	5099
495	24073	5047
496	24109	4996
497	24143	4945
498	24180	4894
499	24217	4843
500	24250	4792
501	24286	4741
502	24326	4691
503	24361	4640
504	24399	4589
505	24434	4539
506	24473	4489
507	24507	4438
508	24543	4387
509	24576	4337
510	24612	4286
511	24648	4236
512	24684	4186
513	24721	4136
514	24754	4085
515	24788	4035
516	24825	3985
517	24861	3935
518	24894	3885
519	24929	3835
520	24966	3785
521	25003	3736
522	25040	3686
523	25079	3637
524	25114	3587
525	25148	3537
526	25181	3488
527	25214	3438
528	25249	3388
529	25286	3339
530	25322	3290
531	25362	3241
532	25400	3192
533	25437	3143
534	25475	3095
535	25514	3046
536	25553	2997
537	25593	2949
538	25631	2900
539	25668	2852
540	25706	2803
541	25745	2755
542	25782	2706
543	25818	2657
544	25851	2608
545	25889	2560
546	25927	2512
547	25965	2463
548	26001	2415
549	26036	2366
550	26073	2318
551	26110	2270
552	26145	2222
553	26181	2173
554	26214	2125
555	26249	2077
556	26284	2029
557	26326	1981
558	26359	1933
559	26396	1885
560	26437	1837
561	26478	1790
562	26515	1742
563	26552	1694
564	26589	1647
565	26628	1599
566	26667	1552
567	26704	1504
568	26739	1456
569	26777	1409
570	26815	1361
571	26850	1314
572	26886	1266
573	26920	1219
574	26956	1172
575	26993	1124
576	27031	1077
577	27068	1030
578	27106	983
579	27142	935
580	27176	888
581	27210	841
582	27248	794
583	27286	747
584	27322	700
585	27354	653
586	27389	606
587	27423	559
588	27460	512
589	27498	466
590	27533	419
591	27569	372
592	27602	325
593	27637	279
594	27677	232
595	27714	186
596	27755	139
597	27794	92
598	27835	46
599	27873	0
