iter	RMSE
170	579.2650836
171	579.0359918
172	578.8194834
173	578.5933992
174	578.3629024
175	578.133137
176	577.9113592
177	577.7213867
178	577.5401084
179	577.3154087
180	577.1396768
181	576.9250913
182	576.7227915
183	576.5453421
184	576.356443
185	576.1401707
186	575.9673794
187	575.7956912
188	575.565832
189	575.3909745
190	575.18437
191	575.0283972
192	574.8593188
193	574.7043747
194	574.5407467
195	574.3864693
196	574.1944802
197	573.9861736
198	573.7978936
199	573.669375
200	573.4989141
201	573.3204751
202	573.2015315
203	573.0953685
204	572.9725118
205	572.8556192
206	572.7498627
207	572.6137779
208	572.5103003
209	572.4000079
210	572.2455043
211	572.1273615
212	572.04693
213	571.9152651
214	571.7750314
215	571.6517932
216	571.5188345
217	571.4215481
218	571.3150649
219	571.2175751
220	571.0818944
221	570.959999
222	570.8566555
223	570.7589478
224	570.6800715
225	570.616644
226	570.5060216
227	570.4059704
228	570.2998738
229	570.1778308
230	570.053277
231	569.9819166
232	569.8632795
233	569.7255178
234	569.6451385
235	569.5519904
236	569.435531
237	569.3440119
238	569.2950491
239	569.1918196
240	569.1221538
241	569.0073673
242	568.8937181
243	568.7866868
244	568.708946
245	568.6299233
246	568.5364804
247	568.4332825
248	568.3531746
249	568.2954935
250	568.2345051
251	568.1382296
252	568.0792281
253	568.0008393
254	567.8877284
255	567.7541816
256	567.6848413
257	567.6115438
258	567.4684767
259	567.384073
260	567.2952964
261	567.239156
262	567.1095399
263	567.00192
264	566.9310669
265	566.8453796
266	566.8015835
267	566.7566936
268	566.6886183
269	566.6134248
270	566.5669355
271	566.4308539
272	566.366782
273	566.2911134
274	566.2263936
275	566.1593623
276	566.0886149
277	566.0019859
278	565.8789925
279	565.8052056
280	565.736104
281	565.6679241
282	565.5885296
283	565.5219891
284	565.4564719
285	565.3988682
286	565.2782687
287	565.1835804
288	565.1457114
289	565.0836539
290	565.0317035
291	564.9606907
292	564.8948673
293	564.7965907
294	564.7254392
295	564.6409458
296	564.559368
297	564.4896527
298	564.3463735
299	564.2802968
300	564.1870373
301	564.0930984
302	564.0172836
303	563.9600807
304	563.8960836
305	563.8599115
306	563.8060858
307	563.7374632
308	563.6883713
309	563.6424232
310	563.5885973
311	563.5167521
312	563.4896953
313	563.4008312
314	563.3154306
315	563.2558212
316	563.1795221
317	563.1165367
318	563.0339948
319	562.9839172
320	562.9530508
321	562.891448
322	562.8210264
323	562.7564386
324	562.6689317
325	562.607675
326	562.5700159
327	562.5051347
328	562.419474
329	562.3741365
330	562.2758651
331	562.2022851
332	562.1324571
333	562.0806557
334	561.9843607
335	561.8503473
336	561.7696626
337	561.719945
338	561.6117115
339	561.5420485
340	561.4384244
341	561.3903303
342	561.3519687
343	561.3039346
344	561.2599649
345	561.1901388
346	561.1289601
347	561.0422475
348	560.8794918
349	560.8089691
350	560.7624118
351	560.7117889
352	560.6596395
353	560.6089286
354	560.5537605
355	560.4902719
356	560.4228224
357	560.3618094
358	560.2671676
359	560.2147676
360	560.1628072
361	560.1035362
362	560.0341493
363	559.9405987
364	559.8769632
365	559.8372107
366	559.7593211
367	559.6775344
368	559.6507893
369	559.5811605
370	559.5457086
371	559.4718916
372	559.4160093
373	559.3561832
374	559.2874006
375	559.2235455
376	559.1426199
377	559.1267431
378	559.0865382
379	558.9494568
380	558.8856621
381	558.8517357
382	558.7935707
383	558.7133059
384	558.6374191
385	558.5503281
386	558.5068061
387	558.4072222
388	558.3660221
389	558.3015632
390	558.2550992
391	558.2131511
392	558.1753619
393	558.1096967
394	558.0206873
395	557.9741338
396	557.9338384
397	557.9032951
398	557.8511077
399	557.8087009
400	557.7557434
401	557.7117919
402	557.6447057
403	557.61288
404	557.5373818
405	557.5061011
406	557.4422712
407	557.3622866
408	557.3125462
409	557.2880158
410	557.255831
411	557.2051416
412	557.1517443
413	557.1032783
414	557.0266344
415	556.9111519
416	556.8465684
417	556.7948406
418	556.7364062
419	556.6943527
420	556.6108366
421	556.5504348
422	556.5032375
423	556.4341846
424	556.3988212
425	556.3453363
426	556.3147859
427	556.2676271
428	556.2143552
429	556.1686542
430	556.0963618
431	556.0415266
432	555.9669599
433	555.9366164
434	555.8627648
435	555.7765512
436	555.7213858
437	555.6696663
438	555.6102998
439	555.5498331
440	555.4950265
441	555.4211096
442	555.3590363
443	555.2928961
444	555.2618511
445	555.2063945
446	555.1672952
447	555.1037521
448	555.0737638
449	555.0486967
450	554.9719638
451	554.8950607
452	554.8272874
453	554.7646917
454	554.7242085
455	554.7097065
456	554.6275981
457	554.5692272
458	554.5421585
459	554.5123365
460	554.4672919
461	554.3740975
462	554.3320038
463	554.3176884
464	554.2748677
465	554.1867486
466	554.1374591
467	554.0926405
468	554.0505862
469	553.965994
470	553.9258297
471	553.8621599
472	553.8492948
473	553.7789143
474	553.7349761
475	553.6754519
476	553.616813
477	553.5614248
478	553.5193394
479	553.4741911
480	553.43558
481	553.3690289
482	553.3149817
483	553.2536946
484	553.2020707
485	553.1523814
486	553.1432275
487	553.0946289
488	553.0449015
489	553.0205699
490	552.9636125
491	552.9147113
492	552.8658347
493	552.7925185
494	552.7571928
495	552.710508
496	552.6369214
497	552.6002589
498	552.546345
499	552.4813056
500	552.4458404
501	552.4331828
502	552.343148
503	552.2932662
504	552.27481
505	552.2139519
506	552.1593105
507	552.138435
508	552.061334
509	552.0267075
510	551.9343264
511	551.9260354
512	551.8455171
513	551.8031908
514	551.7840928
515	551.743007
516	551.6660658
517	551.5828483
518	551.5445672
519	551.4929605
520	551.4150071
521	551.35295
522	551.2988672
523	551.2501712
524	551.2217856
525	551.1805341
526	551.1451373
527	551.119613
528	551.0686089
529	550.9990286
530	550.9540587
531	550.8759543
532	550.8363881
533	550.7671313
534	550.7153529
535	550.649072
536	550.6037292
537	550.5600277
538	550.4850987
539	550.4770837
540	550.4105845
541	550.3547245
542	550.3466335
543	550.3347546
544	550.3100271
545	550.2433376
546	550.1954374
547	550.1413864
548	550.0448642
549	549.9633204
550	549.9148171
551	549.8836184
552	549.8628544
553	549.7778488
554	549.7706708
555	549.6932563
556	549.6530603
557	549.5929598
558	549.5513866
559	549.4806301
560	549.4234082
561	549.376885
562	549.3486248
563	549.3015396
564	549.2565153
565	549.2106115
566	549.1486141
567	549.1024283
568	549.0666735
569	548.9855798
570	548.9314837
571	548.9244914
572	548.9184297
573	548.8806681
574	548.8210199
575	548.7780072
576	548.705878
577	548.6230525
578	548.5704258
579	548.4957516
580	548.4461726
581	548.4132405
582	548.3784866
583	548.3691017
584	548.3590555
585	548.3395911
586	548.268579
587	548.2493173
588	548.165603
589	548.1369278
590	548.0217383
591	547.9820045
592	547.9762472
593	547.8908287
594	547.8521421
595	547.7827409
596	547.7469178
597	547.6666374
598	547.6126149
599	547.5627462
